word,segmentation,related_words
contravention,contra.vention,contra; vention; contravene; vent; infraction
embargo,,
commandment,com.mand.ment,com.mand; test.a.ment
invoke,,provoke; evoke
filibuster,,
legislature,leg.is.la.ture,leg.is; la.ture; leg.is.lation; leg.is.lator
legislation,,legis.lature
regimentation,regi.ment.ation,regi.ment
regiment,regi.ment,regi.ment.ation; regi.em; regi.men; regi.ster
regime,reg.ime,
provision,,stipulation
constitution,con.sti.tu.tion,in.sti.tu.te
stipulation,,stipple
interdict,inter.dict,inter.sect; inter.jection; in.junct.ion
injunction,in.junction,con.junction; inter.dict
alloy,,ally
compound,,pound; propound
miscellany,mis.cell.any,
medley,,meddle; with; tamper; meledy; melody
amalgam,a.mal.gam,
distillate,di.still.ate,di.still
inhibitor,,
catalyst,cata.lyst,cata.strophe; cata.logue; disaster
desiccated,de.sicc.ated,sicc.ative; ated; desiccant; cissi; narcissism; sciss; abscissa; scissors
